elapsed_seconds,distance_bin_lower_bps,distance_bin_upper_bps,up_count,sample_count,p_up_smoothed
120,106.0,107.0,1,1,0.5238095238095238
120,115.0,116.0,1,1,0.5238095238095238
120,116.0,117.0,1,1,0.5238095238095238
120,118.0,119.0,1,1,0.5238095238095238
120,121.0,122.0,1,1,0.5238095238095238
120,130.0,131.0,1,1,0.5238095238095238
120,142.0,143.0,1,1,0.5238095238095238
120,152.0,153.0,1,1,0.5238095238095238
120,171.0,172.0,1,1,0.5238095238095238
120,210.0,211.0,1,1,0.5238095238095238
120,251.0,252.0,1,1,0.5238095238095238
180,-377.0,-376.0,0,1,0.47619047619047616
180,-241.0,-240.0,0,1,0.47619047619047616
180,-198.0,-197.0,0,1,0.47619047619047616
180,-189.0,-188.0,1,1,0.5238095238095238
180,-172.0,-171.0,0,1,0.47619047619047616
180,-171.0,-170.0,0,1,0.47619047619047616
180,-163.0,-162.0,0,1,0.47619047619047616
180,-155.0,-154.0,0,1,0.47619047619047616
180,-153.0,-152.0,0,2,0.45454545454545453
180,-151.0,-150.0,0,1,0.47619047619047616
180,-145.0,-144.0,0,1,0.47619047619047616
180,-139.0,-138.0,0,1,0.47619047619047616
180,-132.0,-131.0,0,1,0.47619047619047616
180,-125.0,-124.0,0,1,0.47619047619047616
180,-123.0,-122.0,0,1,0.47619047619047616
180,-122.0,-121.0,1,2,0.5
180,-119.0,-118.0,0,1,0.47619047619047616
180,-116.0,-115.0,0,1,0.47619047619047616
180,-114.0,-113.0,0,1,0.47619047619047616
180,-111.0,-110.0,0,1,0.47619047619047616
180,-110.0,-109.0,0,1,0.47619047619047616
180,-108.0,-107.0,0,2,0.45454545454545453
180,-107.0,-106.0,0,1,0.47619047619047616
180,-103.0,-102.0,0,1,0.47619047619047616
180,-96.0,-95.0,0,2,0.45454545454545453
180,-95.0,-94.0,0,1,0.47619047619047616
180,-94.0,-93.0,0,1,0.47619047619047616
180,-93.0,-92.0,0,1,0.47619047619047616
180,-92.0,-91.0,0,2,0.45454545454545453
180,-91.0,-90.0,0,2,0.45454545454545453
180,-88.0,-87.0,0,2,0.45454545454545453
180,-87.0,-86.0,0,1,0.47619047619047616
180,-86.0,-85.0,0,1,0.47619047619047616
180,-85.0,-84.0,0,2,0.45454545454545453
180,-84.0,-83.0,1,2,0.5
180,-83.0,-82.0,0,1,0.47619047619047616
180,-81.0,-80.0,0,2,0.45454545454545453
180,-80.0,-79.0,0,4,0.4166666666666667
180,-79.0,-78.0,0,3,0.43478260869565216
180,-78.0,-77.0,0,3,0.43478260869565216
180,-77.0,-76.0,0,2,0.45454545454545453
180,-76.0,-75.0,0,2,0.45454545454545453
180,-75.0,-74.0,0,3,0.43478260869565216
180,-74.0,-73.0,0,1,0.47619047619047616
180,-73.0,-72.0,0,4,0.4166666666666667
180,-72.0,-71.0,0,7,0.37037037037037035
180,-71.0,-70.0,0,3,0.43478260869565216
180,-70.0,-69.0,0,3,0.43478260869565216
180,-69.0,-68.0,0,1,0.47619047619047616
180,-68.0,-67.0,0,6,0.38461538461538464
180,-67.0,-66.0,1,3,0.4782608695652174
180,-66.0,-65.0,0,3,0.43478260869565216
180,-65.0,-64.0,0,7,0.37037037037037035
180,-64.0,-63.0,0,3,0.43478260869565216
180,-63.0,-62.0,0,5,0.4
180,-62.0,-61.0,0,3,0.43478260869565216
180,-61.0,-60.0,0,6,0.38461538461538464
180,-60.0,-59.0,0,10,0.3333333333333333
180,-59.0,-58.0,0,6,0.38461538461538464
180,-58.0,-57.0,1,6,0.4230769230769231
180,-57.0,-56.0,0,6,0.38461538461538464
180,-56.0,-55.0,0,16,0.2777777777777778
180,-55.0,-54.0,0,9,0.3448275862068966
180,-54.0,-53.0,1,13,0.3333333333333333
180,-53.0,-52.0,0,14,0.29411764705882354
180,-52.0,-51.0,0,19,0.2564102564102564
180,-51.0,-50.0,0,20,0.25
180,-50.0,-49.0,0,12,0.3125
180,-49.0,-48.0,0,17,0.2702702702702703
180,-48.0,-47.0,1,20,0.275
180,-47.0,-46.0,0,14,0.29411764705882354
180,-46.0,-45.0,1,27,0.23404255319148937
180,-45.0,-44.0,0,34,0.18518518518518517
180,-44.0,-43.0,1,31,0.21568627450980393
180,-43.0,-42.0,0,39,0.1694915254237288
180,-42.0,-41.0,1,30,0.22
180,-41.0,-40.0,1,33,0.20754716981132076
180,-40.0,-39.0,1,38,0.1896551724137931
180,-39.0,-38.0,0,49,0.14492753623188406
180,-38.0,-37.0,1,42,0.1774193548387097
180,-37.0,-36.0,0,60,0.125
180,-36.0,-35.0,2,57,0.15584415584415584
180,-35.0,-34.0,2,81,0.1188118811881188
180,-34.0,-33.0,0,90,0.09090909090909091
180,-33.0,-32.0,2,83,0.11650485436893204
180,-32.0,-31.0,2,98,0.1016949152542373
180,-31.0,-30.0,0,105,0.08
180,-30.0,-29.0,4,124,0.09722222222222222
180,-29.0,-28.0,5,112,0.11363636363636363
180,-28.0,-27.0,3,129,0.087248322147651
180,-27.0,-26.0,5,159,0.08379888268156424
180,-26.0,-25.0,6,178,0.08080808080808081
180,-25.0,-24.0,10,197,0.09216589861751152
180,-24.0,-23.0,10,227,0.08097165991902834
180,-23.0,-22.0,10,276,0.06756756756756757
180,-22.0,-21.0,9,312,0.0572289156626506
180,-21.0,-20.0,16,365,0.06753246753246753
180,-20.0,-19.0,21,385,0.07654320987654321
180,-19.0,-18.0,20,458,0.06276150627615062
180,-18.0,-17.0,25,513,0.06566604127579738
180,-17.0,-16.0,27,592,0.06045751633986928
180,-16.0,-15.0,33,724,0.05779569892473118
180,-15.0,-14.0,43,835,0.06198830409356725
180,-14.0,-13.0,50,931,0.06309148264984227
180,-13.0,-12.0,65,1097,0.06714413607878246
180,-12.0,-11.0,103,1286,0.08652373660030628
180,-11.0,-10.0,125,1520,0.08766233766233766
180,-10.0,-9.0,171,1872,0.09566596194503171
180,-9.0,-8.0,199,2195,0.0943566591422122
180,-8.0,-7.0,272,2583,0.10833653476757588
180,-7.0,-6.0,429,3090,0.14115755627009646
180,-6.0,-5.0,559,3591,0.157574079202437
180,-5.0,-4.0,739,4143,0.1799183281287533
180,-4.0,-3.0,1066,4949,0.21654256389615617
180,-3.0,-2.0,1416,5416,0.2623252391464312
180,-2.0,-1.0,1991,6099,0.32701421800947866
180,-1.0,0.0,2833,6744,0.42031342400946187
180,0.0,1.0,4403,7297,0.6031160311603116
180,1.0,2.0,4006,5958,0.671796587487454
180,2.0,3.0,4020,5448,0.7370153621068032
180,3.0,4.0,3770,4783,0.7870081199250468
180,4.0,5.0,3382,4116,0.8201160541586073
180,5.0,6.0,3018,3568,0.8439241917502787
180,6.0,7.0,2691,3084,0.8701675257731959
180,7.0,8.0,2306,2590,0.8873563218390804
180,8.0,9.0,1916,2155,0.8855172413793103
180,9.0,10.0,1611,1782,0.8995560488346281
180,10.0,11.0,1500,1618,0.9218559218559218
180,11.0,12.0,1252,1337,0.9299926308032425
180,12.0,13.0,1034,1137,0.902333621434745
180,13.0,14.0,865,924,0.926906779661017
180,14.0,15.0,846,900,0.9304347826086956
180,15.0,16.0,652,691,0.9310829817158931
180,16.0,17.0,554,582,0.9368770764119602
180,17.0,18.0,478,508,0.9242424242424242
180,18.0,19.0,403,421,0.9365079365079365
180,19.0,20.0,384,400,0.9380952380952381
180,20.0,21.0,349,359,0.9472295514511874
180,21.0,22.0,277,289,0.9288025889967637
180,22.0,23.0,254,266,0.9230769230769231
180,23.0,24.0,225,234,0.9251968503937008
180,24.0,25.0,172,177,0.9238578680203046
180,25.0,26.0,178,181,0.9353233830845771
180,26.0,27.0,146,150,0.9176470588235294
180,27.0,28.0,133,138,0.9050632911392406
180,28.0,29.0,133,137,0.910828025477707
180,29.0,30.0,103,106,0.8968253968253969
180,30.0,31.0,94,95,0.9043478260869565
180,31.0,32.0,86,88,0.8888888888888888
180,32.0,33.0,85,85,0.9047619047619048
180,33.0,34.0,67,70,0.8555555555555555
180,34.0,35.0,59,61,0.8518518518518519
180,35.0,36.0,57,57,0.8701298701298701
180,36.0,37.0,58,59,0.8607594936708861
180,37.0,38.0,48,48,0.8529411764705882
180,38.0,39.0,42,43,0.8253968253968254
180,39.0,40.0,57,57,0.8701298701298701
180,40.0,41.0,38,38,0.8275862068965517
180,41.0,42.0,36,37,0.8070175438596491
180,42.0,43.0,33,34,0.7962962962962963
180,43.0,44.0,35,36,0.8035714285714286
180,44.0,45.0,26,28,0.75
180,45.0,46.0,20,21,0.7317073170731707
180,46.0,47.0,21,21,0.7560975609756098
180,47.0,48.0,22,22,0.7619047619047619
180,48.0,49.0,24,25,0.7555555555555555
180,49.0,50.0,16,16,0.7222222222222222
180,50.0,51.0,19,19,0.7435897435897436
180,51.0,52.0,8,8,0.6428571428571429
180,52.0,53.0,13,13,0.696969696969697
180,53.0,54.0,13,13,0.696969696969697
180,54.0,55.0,12,12,0.6875
180,55.0,56.0,10,10,0.6666666666666666
180,56.0,57.0,9,9,0.6551724137931034
180,57.0,58.0,9,9,0.6551724137931034
180,58.0,59.0,18,18,0.7368421052631579
180,59.0,60.0,8,8,0.6428571428571429
180,60.0,61.0,6,6,0.6153846153846154
180,61.0,62.0,5,5,0.6
180,62.0,63.0,7,7,0.6296296296296297
180,63.0,64.0,3,3,0.5652173913043478
180,64.0,65.0,7,7,0.6296296296296297
180,65.0,66.0,5,5,0.6
180,66.0,67.0,3,3,0.5652173913043478
180,67.0,68.0,4,4,0.5833333333333334
180,68.0,69.0,1,1,0.5238095238095238
180,69.0,70.0,6,7,0.5925925925925926
180,70.0,71.0,6,6,0.6153846153846154
180,71.0,72.0,3,3,0.5652173913043478
180,72.0,73.0,4,4,0.5833333333333334
180,73.0,74.0,5,5,0.6
180,74.0,75.0,2,2,0.5454545454545454
180,75.0,76.0,2,2,0.5454545454545454
180,77.0,78.0,1,1,0.5238095238095238
180,78.0,79.0,5,5,0.6
180,79.0,80.0,3,3,0.5652173913043478
180,80.0,81.0,1,1,0.5238095238095238
180,81.0,82.0,2,2,0.5454545454545454
180,82.0,83.0,1,1,0.5238095238095238
180,83.0,84.0,3,3,0.5652173913043478
180,84.0,85.0,2,2,0.5454545454545454
180,85.0,86.0,2,2,0.5454545454545454
180,86.0,87.0,2,2,0.5454545454545454
180,87.0,88.0,2,2,0.5454545454545454
180,88.0,89.0,1,1,0.5238095238095238
180,90.0,91.0,1,1,0.5238095238095238
180,92.0,93.0,3,3,0.5652173913043478
180,93.0,94.0,4,4,0.5833333333333334
180,96.0,97.0,2,2,0.5454545454545454
180,98.0,99.0,1,1,0.5238095238095238
180,99.0,100.0,2,2,0.5454545454545454
